clear_T,clear
280.84,257.59
285.79,265.07
281.79,255.04
282.08,232.74
282.66,239.5
287.81,295.07
293.12,307.13
289.27,286.48
282.83,253.85
281.72,248.5
278.33,244.7
295.42,342.18
293.28,331.52
286.53,277.05
281.36,254.11
288.53,300.89
289.69,283.51
278.34,234.37
280.63,253.31
290.87,303.44
291.94,316.11
284.71,256.19
286.84,350.02
282.77,247.26
291.04,300.0
280.21,250.93
290.02,298.45
283.48,257.42
291.09,300.0
284.49,253.87
280.74,233.34
289.54,302.64
285.32,275.84
286.73,281.92
285.74,265.08
289.16,290.24
281.95,236.29
280.29,233.75
283.85,258.92
284.66,272.68
295.03,329.23
284.57,256.01
288.58,262.71
288.62,292.36
296.62,350.45
285.76,260.13
292.33,311.16
289.56,308.54
293.35,315.11
283.18,251.19
298.05,350.97
288.83,295.08
284.18,237.86
280.58,251.97
288.12,288.79
294.23,324.54
282.28,259.78
291.75,313.63
284.18,243.33
287.18,269.63
277.86,237.25
287.02,285.0
283.49,260.36
280.23,251.12
287.77,299.43
286.55,288.7
284.93,262.03
282.19,243.04
283.2,258.67
287.76,273.92
295.04,341.7
287.5,281.41
281.46,241.58
281.56,241.07
298.28,343.22
287.38,297.97
293.49,310.92
283.53,220.85
284.32,256.72
286.61,282.01
288.33,291.54
286.03,263.27
285.24,268.06
285.99,279.76
299.98,352.87
296.98,349.09
295.98,327.68
284.49,264.44
288.99,276.71
288.53,280.79
287.11,288.69
285.73,242.05
278.95,224.76
283.74,251.14
285.44,260.27
287.17,289.24
286.86,287.0
280.75,251.84
282.27,244.47
295.13,322.51
287.91,282.44
291.11,294.97
293.19,312.09
282.77,244.26
285.82,257.17
286.89,281.49
287.92,282.6
288.1,281.25
287.8,279.87
283.22,260.83
283.68,260.7
292.25,327.49
280.3,245.41
290.52,297.86
290.95,293.76
282.44,244.8
284.57,269.63
284.49,242.44
290.82,307.73
287.01,268.28
280.17,232.17
281.27,256.54
283.27,248.08
286.78,278.79
288.21,277.39
285.07,276.91
282.84,264.18
288.11,288.61
287.71,284.44
295.81,340.38
287.06,280.83
287.59,278.09
291.48,310.41
298.85,356.72
285.82,284.61
281.92,257.05
280.62,237.06
280.81,219.91
296.59,347.06
285.16,273.89
283.2,260.28
284.0,236.92
292.4,324.05
285.52,277.0
285.07,258.28
288.32,362.5
283.33,257.42
282.58,244.16
288.62,284.53
285.91,241.86
292.36,320.45
297.95,357.89
280.8,251.73
286.16,266.47
299.52,363.65
282.64,241.78
286.48,274.66
288.84,295.08
292.94,307.39
287.34,272.49
283.0,324.89
288.74,294.3
282.33,259.58
280.54,230.75
291.07,312.73
283.15,266.09
290.15,298.86
290.67,301.08
286.33,276.56
286.35,274.77
287.87,273.33
294.29,314.44
280.87,242.89
291.6,304.79
294.59,322.15
291.61,302.23
293.4,332.81
283.51,261.98
289.7,302.7
294.99,321.74
291.53,289.25
287.15,280.75
287.14,280.66
284.19,261.12
286.65,274.53
281.38,251.03
286.23,274.86
281.24,246.17
286.06,255.94
297.55,342.5
294.76,336.61
290.65,295.0
290.18,295.01
282.21,237.73
286.05,271.53
280.55,245.94
287.49,273.58
285.46,279.16
282.5,259.78
295.8,342.18
291.22,318.6
283.17,205.18
297.38,353.58
286.19,285.85
285.02,242.13
280.03,248.52
291.76,298.13
290.61,298.8
287.98,295.96
282.74,259.4
286.07,274.47
285.45,270.47
295.52,325.46
294.16,331.9
283.64,265.82
293.79,322.24
290.84,301.66
290.55,309.11
287.9,281.93
293.2,321.64
294.15,320.82
289.11,298.63
288.7,281.41
287.65,272.81
282.15,258.7
290.74,306.04
283.3,260.9
290.13,295.01
285.51,272.67
288.73,294.3
290.01,304.64
282.83,253.85
288.59,292.39
286.95,279.06
286.19,274.86
285.0,273.62
286.29,268.12
285.82,221.26
285.45,276.89
296.83,333.71
288.69,280.89
285.3,259.64
286.77,228.51
286.86,242.5
280.17,245.47
289.28,286.42
298.61,348.76
285.18,268.12
282.27,257.91
280.48,244.83
294.68,329.08
288.2,279.67
279.73,253.09
292.38,307.72
281.31,254.86
286.67,279.06
278.08,223.35
282.2,249.84
283.48,321.08
281.93,249.2
283.29,267.33
297.3,342.37
296.99,355.63
285.13,214.65
282.89,245.68
285.24,252.47
295.59,344.61
279.53,246.69
288.18,280.62
284.3,257.06
280.72,230.05
294.43,315.68
286.34,269.91
288.61,300.38
284.08,253.8
288.92,297.74
296.51,324.56
294.04,319.84
285.81,286.42
288.45,303.64
278.25,229.92
295.42,315.58
286.07,268.21
285.68,274.2
285.17,257.28
285.32,270.85
287.6,286.0
291.73,302.97
283.63,267.57
286.94,281.45
283.47,257.33
281.75,259.61
284.06,247.64
298.26,357.89
293.93,314.41
289.06,271.43
286.41,284.91
285.96,279.47
293.4,316.49
285.03,265.2
286.31,274.86
290.54,307.08
291.95,318.27
287.61,279.77
278.2,229.92
293.44,312.03
288.13,277.39
284.02,259.19
284.45,274.96
289.13,309.62
283.51,257.42
288.51,287.37
296.16,348.09
289.76,291.22
296.66,347.59
290.52,307.08
280.12,250.8
280.35,245.53
282.31,258.03
289.71,281.98
285.54,283.52
286.52,279.58
293.88,311.32
283.22,248.1
287.6,276.04
286.44,224.11
283.98,269.56
279.38,240.9
285.28,267.9
284.49,249.13
293.75,324.32
293.82,314.41
286.28,286.57
280.25,263.22
291.17,300.1
284.45,259.76
296.12,329.03
283.11,247.9
281.9,235.12
285.34,260.08
288.48,303.27
279.59,260.99
277.76,223.48
292.01,321.95
285.4,261.92
284.77,277.25
293.8,318.13
286.08,278.99
282.69,250.99
289.1,306.86
280.73,250.09
281.85,230.64
286.85,287.3
298.3,355.51
294.73,304.85
284.2,259.43
288.24,296.34
287.47,281.41
286.35,224.31
291.02,297.27
282.03,238.98
285.46,247.4
285.02,235.43
288.97,283.64
287.54,281.41
281.12,254.11
293.52,335.31
289.37,286.87
289.0,291.36
280.39,232.67
284.35,264.98
287.05,273.91
288.63,294.83
288.09,283.01
297.14,352.31
288.59,280.89
288.03,279.16
294.99,319.83
288.55,295.29
286.63,281.88
278.73,231.33
281.21,239.44
293.73,312.77
292.24,314.57
292.35,324.05
289.97,289.5
282.71,253.38
278.31,227.71
295.63,326.04
296.51,345.18
291.36,314.83
290.52,307.08
289.21,305.43
288.79,279.66
283.73,236.31
290.48,308.57
291.54,315.87
285.09,235.43
288.87,287.25
287.87,276.43
277.47,225.12
295.58,325.6
287.7,286.13
284.61,274.96
288.46,288.11
286.29,279.78
292.65,295.47
284.05,231.73
292.07,313.63
287.57,288.86
286.96,272.33
287.6,307.02
288.26,291.7
296.78,350.12
293.4,312.83
289.88,287.15
287.96,289.24
288.93,305.28
285.79,260.71
293.66,313.2
287.53,244.84
281.62,246.02
288.68,262.68
288.22,288.88
297.43,353.58
281.95,225.24
283.35,227.66
282.91,262.63
294.24,317.98
279.59,240.7
289.84,304.69
281.05,244.08
289.32,297.88
284.0,248.15
281.56,247.71
294.57,333.99
283.23,226.73
299.31,349.77
284.8,265.15
287.05,280.83
284.7,253.93
293.23,314.86
297.52,342.37
285.19,271.0
285.34,270.35
289.14,285.23
289.34,297.97
281.26,254.11
294.8,316.11
294.68,328.99
287.51,275.78
290.42,295.56
286.55,288.08
289.96,301.52
290.12,287.81
288.13,293.43
287.18,272.36
285.32,253.26
278.7,306.82
296.66,349.54
284.64,266.84
285.53,262.6
289.07,289.07
288.53,294.86
282.17,244.83
286.15,238.83
287.47,292.4
280.54,251.84
284.33,273.67
291.43,301.29
283.54,252.88
291.61,323.96
288.0,250.98
298.91,352.56
286.24,278.09
283.03,261.88
